,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1807,2016-10-06,610.3584029040204,614.0465442574875,606.333719970862,613.2656642050064,9743489188.156977,15918170.32904596,0.00012653771481452303
1806,2016-10-07,617.2209286695992,619.5130136301154,605.4106005680771,611.0140877282264,9725241693.398071,15919959.22298288,0.00011238062540730454
1805,2016-10-08,616.9560986404103,621.0157472856463,613.3048278144238,616.8715138266722,9812312740.30407,15922073.3292986,0.0001327959629864317
1804,2016-10-09,616.1006682426878,620.1969090417615,610.1683277553437,618.527758971123,9851617769.688135,15924074.57168079,0.00012568981066718443
1803,2016-10-10,618.5320884503224,620.5131686570753,611.5588788098211,616.9355936695229,9797108909.163876,15925625.97362413,9.742493583275724e-05
1802,2016-10-11,641.0802967473263,644.9721049998682,616.4735490102291,617.9898374880245,9833037586.017712,15927365.4086299,0.0001092223946894677
1801,2016-10-12,635.2773550174381,643.522437988571,628.12,640.9156008496386,10220418334.504889,15929166.53073803,0.00011308349258776218
1800,2016-10-13,635.1855301462666,641.6299314490828,631.6084277086269,636.7500347170146,10145099837.920876,15930767.78132194,0.00010052318687359119
1799,2016-10-14,638.4686517302183,645.6792475464674,631.6991675246428,635.3202939859448,10127773542.688507,15932469.8384339,0.00010684087140844234
1798,2016-10-15,636.5599757490453,644.99,632.26,639.9972181275765,10211631339.407148,15934245.96909964,0.00011147867742744566
1797,2016-10-16,639.6895365161665,644.6398882358161,631.02,638.16,10169636078.015358,15935872.00391024,0.00010204654890810794
1796,2016-10-17,637.1834188042722,643.6981497611926,632.8869104589453,640.2515667942934,10243647624.267273,15937436.29540237,9.816165012788147e-05
1795,2016-10-18,636.5565704385465,640.5969208698195,632.3048850239637,636.9717864233739,10174597766.092243,15939375.35679009,0.00012166708319827357
1794,2016-10-19,629.4726847755719,640.4926022678852,624.01,635.6080028622836,10124409148.10494,15940938.9534339,9.809648175096441e-05
1793,2016-10-20,626.5041992764686,632.1143743071584,625.0,628.3520440753267,10018947209.115149,15942615.59024771,0.00010517804620602256
1792,2016-10-21,632.5072654250383,636.59,625.71,627.3496671941398,10017648946.57886,15944667.13953749,0.00012868335676596843
1791,2016-10-22,657.7333106351334,663.1863121539426,627.33,629.8457628330705,10045569243.653284,15946530.88100682,0.00011688807630916287
