"Date","Price (Close)","Price (High)","Price (Open)","Price (Low)","Circulating Marketcap","Circulating Supply"
"2017-09-19","0.18481450886207507","0.19510141371631445","0.19468516500275862","0.18279570746694315","3232887867.9811788","16624216724.296083"
"2017-09-18","0.19436052677831048","0.19519967653954504","0.18200367185583477","0.18123253422052166","3014919593.593895","16603712586.296083"
"2017-09-17","0.18186586108337977","0.1857","0.18224641736943323","0.1715415269597507","3021610848.9591503","16582820029.296083"
"2017-09-16","0.18265185559364266","0.19347","0.18483980383579354","0.17498","3063443117.264244","16582813229.296083"
"2017-09-15","0.18509404371308383","0.1922","0.1710944624898845","0.14732859389124958","2834916301.853818","16581790929.296083"
"2017-09-14","0.17153528954550984","0.20269","0.19724571978492395","0.1664193986276366","3274382385.444908","16578744573.506084"
"2017-09-13","0.1973516350031339","0.2099996187102423","0.2098425705984815","0.1903972733188289","3481340924.96652","16578692573.506084"
"2017-09-12","0.20944001342529892","0.22428","0.2142532788339162","0.20531","3551762541.166159","16579675673.506084"
"2017-09-11","0.21403921393469616","0.2222","0.21763974044155956","0.19628109511307854","3601946649.6661263","16575601341.581724"
"2017-09-10","0.21760722874743227","0.22664","0.21259380855787036","0.19877","3519444655.9024353","16555589241.581724"
"2017-09-09","0.21251185130915237","0.2169","0.21278473653133484","0.20652","3526237248.006041","16555288508.251724"
"2017-09-08","0.21326825116914694","0.23065","0.22770893789750976","0.20392134387277638","3774854473.3743143","16555273608.251724"
"2017-09-07","0.22758148875494547","0.23469","0.23168635109885266","0.22039","3834579751.7684197","16554836759.251724"
"2017-09-06","0.23204479200762848","0.237","0.21746639803325496","0.21644559987092188","3607724629.9329743","16553557057.961723"
"2017-09-05","0.2167812208020173","0.224296","0.20714004838287123","0.19318","3439845453.671151","16551294739.577328"
"2017-09-04","0.20789245409423734","0.233705","0.23043887421705753","0.192","3824689108.006217","16542050331.19293"
"2017-09-03","0.2307182013717682","0.239987","0.22736359633107744","0.21798","3756966598.8530436","16541656322.808533"
"2017-09-02","0.2275286872271947","0.2548016323347613","0.2538847291915834","0.21984618495218913","4199857545.322565","16541222869.984137"
"2017-09-01","0.25384326745699315","0.26250682090891175","0.2598637440490468","0.24523929676948572","4295932806.5799885","16540989260.134237"
"2017-08-31","0.25992949977312085","0.2655191039906404","0.2321055324320831","0.22708926993176273","3831696494.083433","16515736358.53434"
"2017-08-30","0.23220781479191743","0.23299198702407303","0.22029161228184463","0.21657754507472804","3629949721.5351043","16512152638.684443"
"2017-08-29","0.22005871955539746","0.22674745045311231","0.2253800095041423","0.21230123670026224","3723587105.758465","16510128473.799044"
"2017-08-28","0.22526505821482384","0.2434397197946141","0.201801","0.19432908886811062","3322898039.518733","16489348563.949146"
"2017-08-27","0.20148766854800162","0.21023727474806445","0.2101557943204878","0.19265293205044126","3463272860.93515","16489089454.099249"
"2017-08-26","0.20961598462851244","0.23148822510240386","0.21687492702862982","0.2066592382703493","3575420101.913367","16487357344.24935"
"2017-08-25","0.2171240037783765","0.23146825269272078","0.21643987804539513","0.20277867903737268","3566939042.0392933","16487164163.992538"
"2017-08-24","0.21623828927057062","0.287812426618974","0.24599753696849258","0.2113481276224895","4054887990.3832083","16474730387.735725"
"2017-08-23","0.24567345792167072","0.2991106249502555","0.2421816569333397","0.2156080229175284","3974733568.5790143","16413720107.478914"
"2017-08-22","0.2429681992633007","0.26139805614872064","0.19682744420154752","0.1701","3225664168.2099347","16371012160.522102"
"2017-08-21","0.19735765277646888","0.21827114118443508","0.15808625581548705","0.15160807204947047","2586154359.669287","16369639080.26529"
"2017-08-20","0.15796570905892662","0.16173649425450998","0.1523648118060401","0.14858","2491812730.3362236","16369466000.008478"
"2017-08-19","0.1522930502642451","0.162247","0.15686889329476905","0.14763","2565309320.212058","16369292919.751665"
"2017-08-18","0.15707235646479006","0.17069417972702908","0.15753830499898966","0.151001","2581468099.1487894","16369161204.081745"
"2017-08-17","0.15746568944089515","0.16137146202920616","0.16024243771886668","0.15361734995315857","2621618103.272467","16348191931.801825"
"2017-08-16","0.16023847999970475","0.16159186300739573","0.15806086399075264","0.14901270270169698","2582774161.3502474","16346732462.161903"
"2017-08-15","0.15797718834367863","0.169369","0.1684974128806857","0.15279455452079135","2760346980.4630866","16345600746.491982"
"2017-08-14","0.16821259381250736","0.18152908015548702","0.16526567634793063","0.16425129497154262","2701747775.194097","16345188491.59206"
"2017-08-13","0.16538822210902643","0.17325013744953496","0.1718882126178988","0.1583552236963813","2802342480.748355","16323042775.922129"
"2017-08-12","0.1718538450048969","0.183675","0.17802839955217492","0.16947513411680112","2901046468.633027","16322911060.252207"
"2017-08-11","0.1778228726705429","0.18640928499819004","0.18128186320210596","0.17534830663960688","2963106345.146768","16322784592.194723"
"2017-08-10","0.18070315297037437","0.186721","0.1842487615002822","0.1787815361589658","3052337068.2786703","16322658119.137274"
"2017-08-09","0.1842493062507318","0.19521138175096214","0.19453846438782643","0.18053612545356335","3171503120.3129044","16322531649.333323"
"2017-08-08","0.19404797980385702","0.1998510227433879","0.1782200512998436","0.1758065837040207","2909204289.1313825","16321276783.805872"
"2017-08-07","0.17795435082447386","0.1830807406594971","0.1796015204","0.175461","2945993269.6749096","16321150310.74842"
"2017-08-06","","","","","2840167540.8603215","16301023083.80097"
"2017-08-05","","","","","2840145505.146936","16300896610.743519"
"2017-08-04","0.17205690926393893","0.1778736758091626","0.17429227258721758","0.17010705570180054","2840093178.718495","16300596285.391003"
