"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2018-12-10","3424.629303385674","3626.20858963559","3366.253869783116","3541.5700496877403","62625978455.46975","17422307.19660427"
"2018-12-09","3543.2596209238113","3668.8490884088023","3386.022163631019","3418.659308837131","60477558175.455864","17420756.88219801"
"2018-12-08","3418.2033755089747","3573.8733042256863","3259.8210759998656","3393.4380269079215","59271951107.231865","17419156.71698195"
"2018-12-07","3397.2681534051117","3550.166990142183","3215.5825643618955","3459.823967143504","60990211989.802216","17417569.0245654"
"2018-12-06","3455.8800091936973","3859.869622135731","3438.791008172019","3707.0953491111068","64745317960.931595","17416143.62134196"
"2018-12-05","3705.569033728982","3949.562005933436","3680.8748683770154","3935.7381255564233","68579211348.7369","17414455.56279933"
"2018-12-04","3917.10118688926","4053.2260742396816","3742.231254384584","3838.897241422392","67367427465.124054","17412830.11391724"
"2018-12-03","3845.08145590057","4139.616676808527","3760.4198706708657","4122.84445876332","72117364834.95857","17411104.22172434"
"2018-12-02","4103.959462763973","4295.873142310158","4045.1874703825765","4155.703785060413","72912600011.00659","17409678.89347283"
"2018-12-01","4152.855415395558","4283.380515185734","3911.3207347652456","3986.87539409862","69791405981.25038","17408253.57345236"
"2018-11-30","3988.0575319894233","4312.872090651885","3883.463192658158","4252.650349377538","73965003399.17099","17406703.07427139"
"2018-11-29","4257.842466335637","4431.031551161314","4096.1859930060855","4231.714759330266","73638326127.97005","17405439.86270798"
"2018-11-28","4232.601496794103","4393.897540087198","3785.371725428515","3818.295622928215","66497304670.16753","17404126.70666562"
"2018-11-27","3784.27057550168","3876.0233609763864","3581.306523682484","3747.5739775101056","65372602780.65102","17402651.1398809"
"2018-11-26","3749.5137253107796","4121.20091304756","3553.6043933364417","3998.97030330446","69645822553.16573","17401013.14991602"
"2018-11-25","3960.9067713527047","4162.947636174824","3508.1825558479586","3813.4866899222784","66227349787.61239","17399625.1117569"
"2018-11-24","3813.180414304607","4427.765605603429","3694.9672231122718","4310.436505740969","74832169332.0503","17398037.18923322"
"2018-11-23","4308.149498937342","4405.621113457773","4115.311359796341","4282.482405382317","74521171788.49869","17396249.35780484"
